LAI,CAC,Sensible heat flux (kJ/hr),Latent heat flux (kg/hr)
0.002156,0.000835,-0.037474,0.000048
0.002163,0.000838,-0.037592,0.000048
0.002169,0.000840,-0.037710,0.000049
0.002176,0.000843,-0.037828,0.000049
0.002183,0.000846,-0.037948,0.000049
0.002190,0.000848,-0.038067,0.000049
0.002197,0.000851,-0.038187,0.000049
0.002204,0.000854,-0.038307,0.000049
0.002211,0.000856,-0.038428,0.000049
0.002218,0.000859,-0.038548,0.000050
0.002225,0.000862,-0.038670,0.000050
0.002232,0.000865,-0.038791,0.000050
0.002239,0.000867,-0.038915,0.000050
0.002246,0.000870,-0.039037,0.000050
0.002253,0.000873,-0.039160,0.000050
0.002260,0.000875,-0.039283,0.000051
0.002267,0.000878,-0.039407,0.000051
0.002274,0.000881,-0.039530,0.000051
0.002281,0.000884,-0.039655,0.000051
0.002289,0.000887,-0.039781,0.000051
0.002296,0.000889,-0.039906,0.000051
0.002303,0.000892,-0.040031,0.000051
0.002310,0.000895,-0.040158,0.000052
0.002318,0.000898,-0.040285,0.000052
0.002325,0.000901,-0.040412,0.000052
0.002332,0.000903,-0.040538,0.000052
0.002339,0.000906,-0.040667,0.000052
0.002347,0.000909,-0.040794,0.000052
0.002354,0.000912,-0.040923,0.000053
0.002362,0.000915,-0.041053,0.000053
0.002369,0.000918,-0.041182,0.000053
0.002377,0.000921,-0.041312,0.000053
0.002384,0.000924,-0.041442,0.000053
0.002392,0.000927,-0.041573,0.000053
0.002399,0.000929,-0.041703,0.000054
0.002407,0.000932,-0.041835,0.000054
0.002414,0.000935,-0.041967,0.000054
0.002422,0.000938,-0.042099,0.000054
0.002429,0.000941,-0.042232,0.000054
0.002437,0.000944,-0.042365,0.000054
0.002445,0.000947,-0.042499,0.000055
0.002453,0.000950,-0.042633,0.000055
0.002460,0.000953,-0.042767,0.000055
0.002468,0.000956,-0.042903,0.000055
0.002476,0.000959,-0.043038,0.000055
0.002484,0.000962,-0.043174,0.000056
0.002491,0.000965,-0.043309,0.000056
0.002499,0.000968,-0.043447,0.000056
0.002507,0.000971,-0.043582,0.000056
0.002515,0.000974,-0.043720,0.000056
0.002523,0.000977,-0.043859,0.000056
0.002531,0.000981,-0.043996,0.000057
0.002539,0.000984,-0.044135,0.000057
0.002547,0.000987,-0.044274,0.000057
0.002555,0.000990,-0.044413,0.000057
0.002563,0.000993,-0.044554,0.000057
0.002571,0.000996,-0.044695,0.000057
0.002579,0.000999,-0.044835,0.000058
0.002587,0.001002,-0.044976,0.000058
0.002596,0.001006,-0.045119,0.000058
0.002604,0.001009,-0.045260,0.000058
0.002612,0.001012,-0.045402,0.000058
0.002620,0.001015,-0.045546,0.000059
0.002628,0.001018,-0.045689,0.000059
0.002637,0.001022,-0.045833,0.000059
0.002645,0.001025,-0.045978,0.000059
0.002653,0.001028,-0.046122,0.000059
0.002662,0.001031,-0.046268,0.000060
0.002670,0.001034,-0.046414,0.000060
0.002678,0.001038,-0.046560,0.000060
0.002687,0.001041,-0.046706,0.000060
0.002695,0.001044,-0.046854,0.000060
0.002704,0.001048,-0.047001,0.000060
0.002712,0.001051,-0.047149,0.000061
0.002721,0.001054,-0.047297,0.000061
0.002730,0.001057,-0.047446,0.000061
0.002738,0.001061,-0.047596,0.000061
0.002747,0.001064,-0.047745,0.000061
0.002755,0.001067,-0.047897,0.000062
0.002764,0.001071,-0.048046,0.000062
0.002773,0.001074,-0.048197,0.000062
0.002781,0.001077,-0.048349,0.000062
0.002790,0.001081,-0.048502,0.000062
0.002799,0.001084,-0.048654,0.000063
0.002808,0.001088,-0.048807,0.000063
0.002817,0.001091,-0.048960,0.000063
0.002825,0.001095,-0.049115,0.000063
0.002834,0.001098,-0.049270,0.000063
0.002843,0.001102,-0.049425,0.000064
0.002852,0.001105,-0.049579,0.000064
0.002861,0.001108,-0.049736,0.000064
0.002870,0.001112,-0.049892,0.000064
0.002879,0.001115,-0.050049,0.000064
0.002888,0.001119,-0.050205,0.000065
0.002897,0.001122,-0.050363,0.000065
0.002906,0.001126,-0.050521,0.000065
0.002916,0.001130,-0.050680,0.000065
0.002925,0.001133,-0.050840,0.000065
0.002934,0.001137,-0.050999,0.000066
0.002943,0.001140,-0.051159,0.000066
0.002952,0.001144,-0.051319,0.000066
0.002962,0.001147,-0.051481,0.000066
0.002971,0.001151,-0.051643,0.000066
0.002980,0.001154,-0.051804,0.000067
0.002990,0.001158,-0.051968,0.000067
0.002999,0.001162,-0.052129,0.000067
0.003008,0.001165,-0.052293,0.000067
0.003018,0.001169,-0.052458,0.000067
0.003027,0.001173,-0.052621,0.000068
0.003037,0.001176,-0.052786,0.000068
0.003046,0.001180,-0.052953,0.000068
0.003056,0.001184,-0.053118,0.000068
0.003065,0.001187,-0.053285,0.000069
0.003075,0.001191,-0.053452,0.000069
0.003085,0.001195,-0.053619,0.000069
0.003094,0.001199,-0.053788,0.000069
0.003104,0.001203,-0.053956,0.000069
0.003114,0.001206,-0.054125,0.000070
0.003123,0.001210,-0.054293,0.000070
0.003133,0.001214,-0.054464,0.000070
0.003143,0.001218,-0.054634,0.000070
0.003153,0.001221,-0.054806,0.000070
0.003163,0.001225,-0.054977,0.000071
0.003173,0.001229,-0.055149,0.000071
0.003183,0.001233,-0.055323,0.000071
0.003193,0.001237,-0.055495,0.000071
0.003203,0.001241,-0.055668,0.000072
0.003213,0.001244,-0.055842,0.000072
0.003223,0.001248,-0.056016,0.000072
0.003233,0.001252,-0.056192,0.000072
0.003243,0.001256,-0.056367,0.000072
0.003253,0.001260,-0.056543,0.000073
0.003263,0.001264,-0.056720,0.000073
0.003273,0.001268,-0.056897,0.000073
0.003283,0.001272,-0.057075,0.000073
0.003294,0.001276,-0.057254,0.000074
0.003304,0.001280,-0.057431,0.000074
0.003314,0.001284,-0.057612,0.000074
0.003325,0.001288,-0.057791,0.000074
0.003335,0.001292,-0.057972,0.000075
0.003345,0.001296,-0.058152,0.000075
0.003356,0.001300,-0.058333,0.000075
0.003366,0.001304,-0.058516,0.000075
0.003377,0.001308,-0.058698,0.000075
0.003387,0.001312,-0.058881,0.000076
0.003398,0.001316,-0.059063,0.000076
0.003408,0.001320,-0.059248,0.000076
0.003419,0.001324,-0.059432,0.000076
0.003430,0.001329,-0.059618,0.000077
0.003440,0.001333,-0.059804,0.000077
0.003451,0.001337,-0.059990,0.000077
